,time,value
0,2007-07-01,188.36225119453601
1,2007-08-01,211.070832839289
2,2007-09-01,194.546915966176
3,2007-10-01,184.281475704701
4,2007-11-01,219.769681606423
5,2007-12-01,221.478842688876
6,2008-01-01,212.960810656916
7,2008-02-01,211.08077966259603
8,2008-03-01,245.69840968048803
9,2008-04-01,210.79288881282199
10,2008-05-01,229.905957237915
11,2008-06-01,212.501153949263
12,2008-07-01,209.43278304138698
13,2008-08-01,222.002281614694
14,2008-09-01,196.084935343919
15,2008-10-01,205.314434463896
16,2008-11-01,226.49687947532001
17,2008-12-01,219.438686060784
18,2009-01-01,217.696684862625
19,2009-02-01,219.64804147649102
20,2009-03-01,261.31527366088403
21,2009-04-01,227.17554749058
22,2009-05-01,236.84634018451197
23,2009-06-01,219.308112324908
24,2009-07-01,222.508945103199
25,2009-08-01,230.549177926217
26,2009-09-01,203.521876970584
27,2009-10-01,205.53781929625
28,2009-11-01,212.687932974008
29,2009-12-01,265.414247729742
30,2010-01-01,220.699607047924
31,2010-02-01,239.79755914859902
32,2010-03-01,277.272833803477
33,2010-04-01,237.08560863355498
34,2010-05-01,242.95188876910998
35,2010-06-01,240.092502597336
36,2010-07-01,236.781121225242
37,2010-08-01,235.50931191986803
38,2010-09-01,220.229566854889
39,2010-10-01,231.464695436021
40,2010-11-01,233.500413149758
41,2010-12-01,257.09489141422
42,2011-01-01,238.129031152763
43,2011-02-01,207.209006841675
44,2011-03-01,260.461962005562
45,2011-04-01,241.95090821638303
46,2011-05-01,252.31900489870202
47,2011-06-01,228.400086884914
48,2011-07-01,223.89001545115002
49,2011-08-01,223.11513205749802
50,2011-09-01,247.314852491352
51,2011-10-01,250.184362786511
52,2011-11-01,225.041609260477
53,2011-12-01,249.694027953012
54,2012-01-01,233.73438283874802
55,2012-02-01,231.56327620155201
56,2012-03-01,277.2423409597
57,2012-04-01,237.41841352184
58,2012-05-01,263.353035000335
59,2012-06-01,246.00855147782502
60,2012-07-01,242.511989124812
61,2012-08-01,215.654266752228
62,2012-09-01,256.42374412296
63,2012-10-01,245.60064821408298
64,2012-11-01,237.62536749594503
65,2012-12-01,257.643984289972
66,2013-01-01,239.403188848846
67,2013-02-01,246.72795591448
68,2013-03-01,270.968855236675
69,2013-04-01,264.07781201103097
70,2013-05-01,247.870558828643
71,2013-06-01,247.071629160326
72,2013-07-01,234.200458093012
73,2013-08-01,223.903383851451
74,2013-09-01,268.006158055536
75,2013-10-01,248.277662661398
76,2013-11-01,247.362098381886
77,2013-12-01,256.550238956715
78,2014-01-01,239.486066468394
79,2014-02-01,254.944543375063
80,2014-03-01,288.84939015654203
81,2014-04-01,260.03035374646197
82,2014-05-01,266.495026199231
83,2014-06-01,271.494620054306
84,2014-07-01,242.666334697066
85,2014-08-01,260.143188732532
86,2014-09-01,264.170476570402
87,2014-10-01,254.254570114694
88,2014-11-01,270.600509792891
89,2014-12-01,266.614920092415
90,2015-01-01,248.98338094922798
91,2015-02-01,258.305946085611
92,2015-03-01,301.61067296516103
93,2015-04-01,279.415669329738
94,2015-05-01,291.579970180472
95,2015-06-01,253.62436048979
96,2015-07-01,253.247581634591
97,2015-08-01,278.650016989377
98,2015-09-01,274.332401376032
99,2015-10-01,266.519621741128
100,2015-11-01,287.584375482986
101,2015-12-01,269.44600277588603
102,2016-01-01,255.464828636364
103,2016-02-01,257.362725905602
104,2016-03-01,326.122445458034
105,2016-04-01,281.124971986709
106,2016-05-01,311.34439194052004
107,2016-06-01,268.850636072771
108,2016-07-01,257.99404720498404
109,2016-08-01,302.58620566453897
110,2016-09-01,273.219747130477
111,2016-10-01,268.235398765056
112,2016-11-01,305.651157219524
113,2016-12-01,281.91344401542005
114,2017-01-01,279.167090183378
115,2017-02-01,283.052295697546
116,2017-03-01,313.780614119076
117,2017-04-01,304.06309570686903
118,2017-05-01,311.435434482649
119,2017-06-01,288.901469810481
120,2017-07-01,284.630962096421
121,2017-08-01,301.275982305665
122,2017-09-01,291.093055597915
123,2017-10-01,303.484166394841
124,2017-11-01,309.85322070174703
125,2017-12-01,287.662612903412
126,2018-01-01,282.695963381091
127,2018-02-01,294.388170436963
128,2018-03-01,346.215866181946
129,2018-04-01,321.863480844618
130,2018-05-01,333.6194293095
131,2018-06-01,297.617089845883
132,2018-07-01,307.36636422923
133,2018-08-01,303.469763054346
134,2018-09-01,313.063872716424
135,2018-10-01,314.13944799236
136,2018-11-01,314.489994450908
137,2018-12-01,322.37055755673197
138,2019-01-01,304.800797359331
139,2019-02-01,306.630489975503
140,2019-03-01,363.768712665166
141,2019-04-01,342.843687430221
142,2019-05-01,353.189919546213
143,2019-06-01,311.366393023566
144,2019-07-01,326.884744611872
145,2019-08-01,325.539185420289
146,2019-09-01,323.676069967839
147,2019-10-01,329.028119600786
148,2019-11-01,338.546156855658
149,2019-12-01,337.125723543556
150,2020-01-01,345.168283591258
151,2020-02-01,335.27018967776
152,2020-03-01,343.961526730983
153,2020-04-01,315.67518608835496
154,2020-05-01,303.740989995033
155,2020-06-01,370.583823916612
156,2020-07-01,321.79800602706297
157,2020-08-01,323.67300793990796
158,2020-09-01,337.12898603303
159,2020-10-01,337.684664851285
160,2020-11-01,340.353494198639
161,2020-12-01,346.561840950077
162,2021-01-01,330.041764908867
163,2021-02-01,340.20892531992297
164,2021-03-01,384.34930977121
165,2021-04-01,352.87795670841905
166,2021-05-01,333.14226616328
167,2021-06-01,380.279777128301
168,2021-07-01,340.113940361768
169,2021-08-01,367.97089166758906
170,2021-09-01,376.068842628583
